Magnetic Field Strength,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
4.7,203,204,195,215,189
10,250,264,281,249,237
20,383,346,396,408,408
30,624,616,641,583,668
40,879,926,923,948,907
50,1226,1281,1294,1258,1241
60,1543,1544,1569,1530,1432
70,1667,1757,1806,1801,1872
80,2198,2152,2173,2193,2164
90,2081,2181,2125,2151,2036
100,1716,1980,1952,2037,2042
110,1892,1832,1800,1927,1893
120,1678,1632,1676,1778,1628
130,1531,1527,1517,1525,1492
140,1193,1236,1226,1237,1260
